"平成27年秋期　問23 1問目／選択範囲の問題数675問","特許権に関する記述のうち，適切なものはどれか。","","A社が特許を出願するより前にB社が独自に開発して日本国内で発売した製品は，A社の特許権の侵害にならない。","組込み機器におけるハードウェアは特許権で保護されるが，ソフトウェアは保護されない。","審査を受けて特許権を取得した後に，特許権が無効となることはない。","先行特許と同一の技術であっても，独自に開発した技術であれば特許権の侵害にならない。","A"
"平成29年春期　問3 254問目／選択範囲の問題数675問","サイドチャネル攻撃の説明はどれか。","","暗号アルゴリズムを実装した攻撃対象の物理デバイスから得られる物理量(処理時間や消費電流など)やエラーメッセージから，攻撃対象の機密情報を得る。","企業などの機密情報を詐取するソーシャルエンジニアリングの手法の一つであり，不用意に捨てられた機密情報の印刷物をオフィスの紙ごみの中から探し出す。","通信を行う2者間に割り込んで，両者が交換する情報を自分のものとすり替えることによって，気付かれることなく盗聴する。","データベースを利用するWebサイトに入力パラメタとしてSQL文の断片を与えることによって，データベースを改ざんする。","A"
"平成21年春期　問24 255問目／選択範囲の問題数675問","アクセス権限を管理しているシステムの利用者IDリストから，退職による権限喪失者が削除されていることを検証する手続として，最も適切なものはどれか。","","アクセス権限削除申請書の全件について，利用者IDリストから削除されていることを確認する。","最新の利用者IDリストの全件について，対応するアクセス権限削除申請書が存在しないことを確認する。","人事発令簿の退職者の全件について，利用者IDリストから削除されていることを確認する。","利用者IDリストの更新履歴の全件について，対応するアクセス権限削除申請書の存在を確認する。","U"
"平成22年秋期　問8 256問目／選択範囲の問題数675問","SQLインジェクション攻撃を防ぐ方法はどれか。","","入力から，上位ディレクトリを指定する文字列(../)を取り除く。","入力中の文字がデータベースへの問合せや操作において特別な意味をもつ文字として解釈されないようにする。","入力にHTMLタグが含まれていたら，解釈，実行できないほかの文字列に置き換える。","入力の全体の長さが制限を超えていたときは受け付けない。","I"
"平成27年秋期　問21 257問目／選択範囲の問題数675問","データウェアハウスを構築するために，業務システムごとに異なっているデータ属性やコード体系を統一する処理はどれか。","","ダイス","データクレンジング","ドリルダウン","ロールアップ","I"
"平成27年春期　問4 258問目／選択範囲の問題数675問","VA(Validation Authority)の役割はどれか。","","ディジタル証明書の失効状態についての問合せに応答する。","ディジタル証明書を作成するためにディジタル署名する。","認証局に代わって属性証明書を発行する。","本人確認を行い，ディジタル証明書の発行を指示する。","A"
"平成22年春期　問3 259問目／選択範囲の問題数675問","A社のWebサーバは，認証局で生成したWebサーバ用のディジタル証明書を使ってSSL/TLS通信を行っている。PCがA社のWebサーバにSSL/TLSを用いてアクセスしたとき，サーバのディジタル証明書を入手した後に，認証局の公開鍵を利用しPCが行う処理はどれか。","","暗号化通信に利用する共通鍵を生成し，認証局の公開鍵を使って暗号化する。","暗号化通信に利用する共通鍵を認証局の公開鍵を使って復号する。","ディジタル証明書の正当性を認証局の公開鍵を使って検証する。","利用者が入力，送付する秘匿データを認証局の公開鍵を使って暗号化する。","U"
"平成26年春期　問3 260問目／選択範囲の問題数675問","クラウドサービスにおける，従量課金を利用したEDoS(Economic Denial of Service，Economic Denial of Sustainability)攻撃の説明はどれか。","","カード情報の取得を目的に，金融機関が利用しているクラウドサービスに侵入する攻撃","課金回避を目的に，同じハードウェア上に構築された別の仮想マシンに侵入し，課金機能を利用不可にする攻撃","クラウド利用企業の経済的な損失を目的に，リソースを大量消費させる攻撃","パスワード解析を目的に，クラウド環境のリソースを悪用する攻撃","U"
"令和4年秋期　問9 261問目／選択範囲の問題数675問","IT製品及びシステムが，必要なセキュリティレベルを満たしているかどうかについて，調達者が判断する際に役立つ評価結果を提供し，独立したセキュリティ評価結果間の比較を可能にするための規格はどれか。","","ISO/IEC 15408","ISO/IEC 27002","ISO/IEC 27017","ISO/IEC 30147","A"
"平成24年秋期　問22 262問目／選択範囲の問題数675問","オブジェクト指向における情報隠蔽に関する記述として，適切なものはどれか。","","オブジェクトの特性(属性，関連，操作)をまとめて抽象化する。","オブジェクトは，メッセージによってだけアクセス可能となる。","親クラスに定義されたメソッドを，実行時に子クラスに引き継ぐ。","同一メッセージでも，実行時の受信クラスに基づいて適用されるメソッドが決まる。","I"
"平成29年秋期　問12 263問目／選択範囲の問題数675問","JIS Q 27000:2014(情報セキュリティマネジメントシステム－用語)における情報セキュリティリスクに関する定義のうち，適切なものはどれか。","","脅威とは，一つ以上の要因によって悪用される可能性がある，資産又は管理策の弱点のことである。","脆弱性とは，システム又は組織に損害を与える可能性がある，望ましくないインシデントの潜在的な原因のことである。","リスク対応とは，リスクの大きさが，受容可能か又は許容可能かを決定するために，リスク分析の結果をリスク基準と比較するプロセスのことである。","リスク特定とは，リスクを発見，認識及び記述するプロセスのことであり，リスク源，事象，それらの原因及び起こり得る結果の特定が含まれる。","E"
"平成22年春期　問6 264問目／選択範囲の問題数675問","情報漏えいに関するリスク対応のうち，リスク回避に該当するものはどれか。","","外部の者が侵入できないように，入退室をより厳重に管理する。","情報資産を外部のデータセンタに預託する。","情報の重要性と対策費用を勘案し，あえて対策をとらない。","データの安易な作成を禁止し，不要なデータを消去する。","E"
"平成24年春期　問12 265問目／選択範囲の問題数675問","送信元を詐称した電子メールを拒否するために，SPF(Sender Policy Framework)の仕組みにおいて受信側が行うことはどれか。","","Resent-Sender:，Resent-From:，Sender:，From: などのメールヘッダ情報の送信者メールアドレスを基に送信メールアカウントを検証する。","SMTPが利用するポート番号25の通信を拒否する。","SMTP通信中にやり取りされるMAIL FROMコマンドで与えられた送信ドメインと送信サーバのIPアドレスの適合性を検証する。","付加されたディジタル署名を受信側が検証する。","U"
"平成26年秋期　問14 266問目／選択範囲の問題数675問","ディジタルフォレンジックスを説明したものはどれか。","","画像や音楽などのディジタルコンテンツに著作権者などの情報を埋め込む。","コンピュータやネットワークのセキュリティ上の弱点を発見するテスト手法の一つであり，システムを実際に攻撃して侵入を試みる。","ネットワーク管理者や利用者などから，巧みな話術や盗み聞き，盗み見などの手段によって，パスワードなどのセキュリティ上重要な情報を入手する。","犯罪に対する証拠となり得るデータを保全し，その後の訴訟などに備える。","E"
"平成28年秋期　問16 267問目／選択範囲の問題数675問","SMTP-AUTHの特徴はどれか。","","ISP管理下の動的IPアドレスからの電子メール送信について，管理外ネットワークのメールサーバへのSMTP接続を禁止する。","電子メール送信元のサーバが，送信元ドメインのDNSに登録されていることを確認して，電子メールを受信する。","メールクライアントからメールサーバへの電子メール送信時に，ユーザアカウントとパスワードによる利用者認証を行う。","メールクライアントからメールサーバへの電子メール送信は，POP接続で利用者認証済みの場合にだけ許可する。","U"
"平成23年特別　問5 268問目／選択範囲の問題数675問","SMTP-AUTHにおける認証の動作を説明したものはどれか。","","SMTPサーバへ電子メールを送信する前に，電子メールを受信し，その際にパスワード認証が行われたクライアントのIPアドレスに対して，一定時間だけ電子メールの送信を許可する。","クライアントがSMTPサーバにアクセスするときに利用者認証を行い，許可された利用者だけから電子メールを受け付ける。","サーバは認証局のディジタル証明書をもち，クライアントから送信された認証局の署名付きクライアント証明書の妥当性を確認する。","利用者が電子メールを受信する際の認証情報を秘匿できるように，パスワードからハッシュ値を計算して，その値で利用者認証を行う。","I"
"平成28年秋期　問20 269問目／選択範囲の問題数675問","TCPに関する記述のうち，適切なものはどれか。","","OSI基本参照モデルのネットワーク層の機能である。","ウインドウ制御の単位は，バイトではなくビットである。","確認応答がない場合は再送処理によってデータ回復を行う。","データの順序番号をもたないので，データは受信した順番のままで処理する。","U"
"平成29年春期　問19 270問目／選択範囲の問題数675問","PCやスイッチングハブがもつイーサネットインタフェース(物理ポート)の，Automatic MDI/MDI-Xの機能はどれか。","","コネクタの送信端子と受信端子が正しい組合せとなるように，自動で判別して切り替える機能","接続した機器のアドレスを学習し，イーサネットフレームを該当するインタフェースにだけ転送する機能","通信経路のループを自動的に検出する機能","通信速度や，全二重と半二重のデータ通信モードを自動的に設定する機能","A"
"平成31年春期　問24 271問目／選択範囲の問題数675問","データの追加・変更・削除が，少ないながらも一定の頻度で行われるデータベースがある。このデータベースのフルバックアップを磁気テープに取得する時間間隔を今までの2倍にした。このとき，データベースのバックアップ又は復旧に関する記述のうち，適切なものはどれか。","","復旧時に行うログ情報の反映の平均処理時間が約2倍になる。","フルバックアップ取得1回当たりの磁気テープ使用量が約2倍になる。","フルバックアップ取得1回当たりの磁気テープ使用量が約半分になる。","フルバックアップ取得の平均処理時間が約2倍になる。","A"
"令和4年春期　問20 272問目／選択範囲の問題数675問","複数台のレイヤ2スイッチで構成されるネットワークが複数の経路をもつ場合に，イーサネットフレームのループが発生することがある。そのループの発生を防ぐためのTCP/IPネットワークインタフェース層のプロトコルはどれか。","","IGMP","RIP","SIP","スパニングツリープロトコル","E"
"平成24年春期　問14 273問目／選択範囲の問題数675問","DNSの再帰的な問合せを使ったサービス不能攻撃(DNS amp)の踏み台にされることを防止する対策はどれか。","","キャッシュサーバとコンテンツサーバに分離し，インターネット側からキャッシュサーバに問合せできないようにする。","問合せされたドメインに関する情報をWhoisデータベースで確認する。","一つのDNSレコードに複数のサーバのIPアドレスを割り当て，サーバへのアクセスを振り分けて分散させるように設定する。","他のDNSサーバから送られてくるIPアドレスとホスト名の対応情報の信頼性をディジタル署名で確認するように設定する。","A"
"令和4年秋期　問2 274問目／選択範囲の問題数675問","PKI(公開鍵基盤)を構成するRA(Registration Authority)の役割はどれか。","","デジタル証明書にデジタル署名を付与する。","デジタル証明書に紐づけられた属性証明書を発行する。","デジタル証明書の失効リストを管理し，デジタル証明書の有効性を確認する。","本人確認を行い，デジタル証明書の発行申請の承認又は却下を行う。","E"
"平成26年秋期　問11 275問目／選択範囲の問題数675問","暗号化や認証機能を持ち，遠隔にあるコンピュータを操作する機能をもったものはどれか。","","IPsec","L2TP","RADIUS","SSH","E"
"平成30年秋期　問17 276問目／選択範囲の問題数675問","利用者認証情報を管理するサーバ1台と複数のアクセスポイントで構成された無線LAN環境を実現したい。PCが無線LAN環境に接続するときの利用者認証とアクセス制御に，IEEE 802.1XとRADIUSを利用する場合の標準的な方法はどれか。","","PCにはIEEE 802.1Xのサプリカントを実装し，かつ，RADIUSクライアントの機能をもたせる。","アクセスポイントにはIEEE 802.1Xのオーセンティケータを実装し，かつ，RADIUSクライアントの機能をもたせる。","アクセスポイントにはIEEE 802.1Xのサプリカントを実装し，かつ，RADIUSサーバの機能をもたせる。","サーバにはIEEE 802.1Xのオーセンティケータを実装し，かつ，RADIUSサーバの機能をもたせる。","I"
"平成25年春期　問11 277問目／選択範囲の問題数675問","CRYPTRECの活動内容はどれか。","","客観的な評価によって安全性及び実装性に優れると判断された暗号技術のリストを決定する。","情報セキュリティ政策に係る基本戦略の立案，官民における統一的，横断的な情報セキュリティ政策の推進に係る企画などを行う。","組織の情報セキュリティマネジメントシステムについて評価し認証する制度を運用する。","認証機関から貸与された暗号モジュール試験報告書作成支援ツールを用いて暗号モジュールの安全性についての評価試験を行う。","A"
"平成29年秋期　問9 278問目／選択範囲の問題数675問","ステートフルインスペクション方式のファイアウォールの特徴はどれか。","","WebクライアントとWebサーバとの間に配置され，リバースプロキシサーバとして動作する方式であり，Webクライアントからの通信を目的のWebサーバに中継する際に，通信に不正なデータがないかどうかを検査する。","アプリケーションプロトコルごとにプロキシソフトウェアを用意する方式であり，クライアントからの通信を目的のサーバに中継する際に，通信に不正なデータがないかどうかを検査する。","特定のアプリケーションプロトコルだけを通過させるゲートウェイソフトウェアを利用する方式であり，クライアントからのコネクションの要求を受け付けて，目的のサーバに改めてコネクションを要求することによって，アクセスを制御する。","パケットフィルタリングを拡張した方式であり，過去に通過したパケットから通信セッションを認識し，受け付けたパケットを通信セッションの状態に照らし合わせて通過させるか遮断するかを判断する。","E"
